Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
1986-87,23.0,DEN,NBA,3.0,3.0,5.0,0.6,0.7,0.7,1.0,0.3,3.0,6.7,,alarima01,PF,0.0,13.7,0.0,0.0,3.0,5.0,0.0,1.7,1.7,0.7,0.7,1.3,,0.6,0.6
1987-88,24.0,WSB,NBA,1.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,3.0,,alarima01,PF,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,,0.75
1974-75,24.0,NYK,NBA,1.0,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,,rikerto01,C,,8.0,,,,,1.0,1.0,2.0,0.0,0.0,,,,
1988-89,23.0,GSW,NBA,8.0,7.8,16.9,0.459,4.3,4.8,0.895,4.4,3.1,20.1,,richmmi01,SG,8.0,39.3,0.4,2.0,7.4,14.9,1.3,6.0,7.3,1.8,0.1,3.0,0.188,0.496,0.47
,,,,,,,,,,,,,,,richmmi01,,,,,,,,,,,,,,,,
1990-91,25.0,GSW,NBA,9.0,9.4,18.8,0.503,2.6,2.7,0.958,2.4,3.1,22.3,,richmmi01,SG,9.0,41.3,0.9,2.7,8.6,16.1,1.1,4.1,5.2,0.6,0.7,1.9,0.333,0.531,0.527
,,,,,,,,,,,,,,,richmmi01,,,,,,,,,,,,,,,,
1995-96,30.0,SAC,NBA,4.0,6.0,13.5,0.444,7.0,8.8,0.8,3.0,2.8,21.0,,richmmi01,SG,4.0,36.5,2.0,5.8,4.0,7.8,0.8,3.5,4.3,0.8,0.0,3.8,0.348,0.516,0.519
,,,,,,,,,,,,,,,richmmi01,,,,,,,,,,,,,,,,
2001-02,36.0,LAL,NBA,2.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,1.5,,richmmi01,SG,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,,1.0,1.0
1984-85,24.0,SAS,NBA,5.0,1.6,2.2,0.727,0.2,1.2,0.167,0.8,3.6,3.4,,jonesoz01,C,0.0,14.6,0.0,0.0,1.6,2.2,1.0,2.4,3.4,0.2,0.8,1.4,,0.727,0.727
2015-16,28.0,LAC,NBA,6.0,0.8,2.3,0.357,0.5,0.5,1.0,0.3,1.0,2.7,,johnswe01,SF,0.0,12.8,0.5,1.5,0.3,0.8,0.8,2.2,3.0,0.2,0.7,0.3,0.333,0.4,0.464
2016-17,29.0,LAC,NBA,3.0,0.0,0.0,,0.3,0.7,0.5,0.0,0.7,0.3,,johnswe01,SF,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,,,
2020-21,24.0,PHO,NBA,22.0,4.2,8.6,0.484,1.1,1.3,0.893,1.6,1.9,11.1,,bridgmi01,SF,22.0,32.1,1.6,4.3,2.6,4.3,0.9,3.4,4.3,1.0,0.7,0.7,0.368,0.6,0.576
2021-22,25.0,PHO,NBA,13.0,5.1,10.6,0.478,2.2,2.3,0.933,2.8,2.4,13.3,,bridgmi01,SF,13.0,38.5,1.0,2.5,4.1,8.1,0.9,3.8,4.7,1.1,1.0,0.8,0.394,0.505,0.525
2022-23,26.0,BRK,NBA,4.0,8.3,19.3,0.429,4.5,5.8,0.783,4.0,1.3,23.5,,bridgmi01,SG,4.0,39.3,2.5,6.3,5.8,13.0,0.5,4.8,5.3,0.5,0.5,2.0,0.4,0.442,0.494
,,,,,,,,,,,,,,,bridgmi01,,,,,,,,,,,,,,,,
2024-25,28.0,NYK,NBA,18.0,6.7,14.6,0.456,0.7,0.9,0.75,2.9,2.2,15.6,,bridgmi01,SF,18.0,39.2,1.6,4.7,5.1,9.9,1.1,3.4,4.5,1.7,0.9,2.1,0.333,0.514,0.51
