Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Blocks",1.0,View full stats from top 20 games,woodle01
"Career high, Game Score",28.0,View full stats from top 20 games,woodle01
"Career high, Points",30.0,View full stats from top 20 games,willimo01
"Career high, Rebounds",11.0,View full stats from top 20 games,willimo01
"Career high, Assists",6.0,View full stats from top 20 games,willimo01
"Career high, Steals",3.0,View full stats from top 20 games,willimo01
"Career high, Blocks",4.0,View full stats from top 20 games,willimo01
"Career high, Game Score",23.7,View full stats from top 20 games,willimo01
"Career high, Points",17.0,View full stats from top 20 games,morrite01
"Career high, Rebounds",10.0,View full stats from top 20 games,morrite01
"Career high, Assists",5.0,View full stats from top 20 games,morrite01
"Career high, Steals",2.0,View full stats from top 20 games,morrite01
"Career high, Blocks",3.0,View full stats from top 20 games,morrite01
"Career high, Game Score",14.0,View full stats from top 20 games,morrite01
"Career high, Points",18.0,View full stats from top 20 games,ayongu01
"Career high, Rebounds",17.0,View full stats from top 20 games,ayongu01
"Career high, Assists",6.0,View full stats from top 20 games,ayongu01
"Career high, Steals",4.0,View full stats from top 20 games,ayongu01
"Career high, Blocks",4.0,View full stats from top 20 games,ayongu01
"Career high, Game Score",18.0,View full stats from top 20 games,ayongu01
"Career high, Points",28.0,View full stats from top 20 games,minerha01
"Career high, Rebounds",10.0,View full stats from top 20 games,minerha01
"Career high, Assists",8.0,View full stats from top 20 games,minerha01
"Career high, Steals",3.0,View full stats from top 20 games,minerha01
"Career high, Blocks",2.0,View full stats from top 20 games,minerha01
"Career high, Game Score",22.3,View full stats from top 20 games,minerha01
"Career high, Points",36.0,View full stats from top 20 games,outlatr01
"Career high, Rebounds",15.0,View full stats from top 20 games,outlatr01
"Career high, Assists",6.0,View full stats from top 20 games,outlatr01
"Career high, Steals",4.0,View full stats from top 20 games,outlatr01
"Career high, Blocks",6.0,View full stats from top 20 games,outlatr01
"Career high, Game Score",30.1,View full stats from top 20 games,outlatr01
"Career high, Points",48.0,View full stats from top 20 games,laniebo01
"Career high, Rebounds",33.0,View full stats from top 20 games,laniebo01
"Career high, Assists",12.0,View full stats from top 20 games,laniebo01
"Career high, Steals",6.0,View full stats from top 20 games,laniebo01
"Career high, Blocks",9.0,View full stats from top 20 games,laniebo01
"Career high, Game Score",36.0,View full stats from top 20 games,laniebo01
Triple-Doubles,4.0,View all,laniebo01
"Career high, Points",42.0,View full stats from top 20 games,douglsh01
"Career high, Rebounds",10.0,View full stats from top 20 games,douglsh01
"Career high, Assists",22.0,View full stats from top 20 games,douglsh01
"Career high, Steals",6.0,View full stats from top 20 games,douglsh01
"Career high, Blocks",2.0,View full stats from top 20 games,douglsh01
"Career high, Game Score",37.1,View full stats from top 20 games,douglsh01
Triple-Doubles,1.0,View all,douglsh01
"Career high, Points",57.0,View full stats from top 20 games,hawkico01
"Career high, Rebounds",24.0,View full stats from top 20 games,hawkico01
"Career high, Assists",13.0,View full stats from top 20 games,hawkico01
"Career high, Steals",5.0,View full stats from top 20 games,hawkico01
"Career high, Blocks",3.0,View full stats from top 20 games,hawkico01
Triple-Doubles,10.0,View all,hawkico01
"Career high, Points",7.0,View full stats from top 20 games,mckinca01
"Career high, Rebounds",4.0,View full stats from top 20 games,mckinca01
"Career high, Assists",4.0,View full stats from top 20 games,mckinca01
"Career high, Steals",2.0,View full stats from top 20 games,mckinca01
"Career high, Blocks",1.0,View full stats from top 20 games,mckinca01
"Career high, Game Score",6.6,View full stats from top 20 games,mckinca01
"Career high, Points",31.0,View full stats from top 20 games,jonesco01
"Career high, Rebounds",16.0,View full stats from top 20 games,jonesco01
"Career high, Assists",6.0,View full stats from top 20 games,jonesco01
"Career high, Steals",4.0,View full stats from top 20 games,jonesco01
"Career high, Blocks",3.0,View full stats from top 20 games,jonesco01
"Career high, Game Score",19.5,View full stats from top 20 games,jonesco01
"Career high, Points",24.0,View full stats from top 20 games,davised01
"Career high, Rebounds",20.0,View full stats from top 20 games,davised01
"Career high, Assists",6.0,View full stats from top 20 games,davised01
"Career high, Steals",3.0,View full stats from top 20 games,davised01
"Career high, Blocks",5.0,View full stats from top 20 games,davised01
"Career high, Game Score",24.8,View full stats from top 20 games,davised01
"Career high, Points",56.0,View full stats from top 20 games,monroea01
