Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
2003-04,30,SAC,NBA,PF,23,23,831,.413,10.4,.988,.238,.261,.128,.361,.012,.416,.600,.345,.333,.375,.200,.647,.000,.078,31,.000,,0,0,,webbech01,,,,,,,,,,,,,,,
2004-05,31,2TM,NBA,PF,67,67,2370,.433,12.2,.966,.206,.193,.121,.447,.034,.436,.610,.433,.329,.386,.341,.648,.867,.055,64,.023,1.000,1,0,,webbech01,,,,,,,,,,,,,,,
2004-05,31,SAC,NBA,PF,46,46,1668,.449,12.3,.968,.210,.200,.106,.453,.032,.452,.632,.464,.361,.383,.379,.631,.909,.057,46,.000,,1,0,,webbech01,,,,,,,,,,,,,,,
2004-05,31,PHI,NBA,PF,21,21,702,.391,12.2,.959,.194,.175,.158,.432,.041,.396,.549,.344,.276,.392,.267,.698,.750,.049,18,.067,1.000,0,0,,webbech01,,,,,,,,,,,,,,,
2005-06,32,PHI,NBA,PF,75,75,2893,.434,10.8,.946,.257,.220,.155,.313,.054,.443,.568,.450,.262,.425,.273,.622,.810,.056,73,.169,.385,1,0,,webbech01,,,,,,,,,,,,,,,
2006-07,33,2TM,NBA,PF,61,60,1821,.452,9.3,.983,.324,.227,.175,.257,.017,.454,.643,.386,.330,.360,.364,.632,1.000,.067,41,.000,,1,0,,webbech01,,,,,,,,,,,,,,,
2006-07,33,PHI,NBA,PF,18,18,544,.387,9.8,.978,.274,.239,.165,.300,.022,.387,.587,.291,.184,.391,.400,.724,1.000,.048,10,.000,,0,0,,webbech01,,,,,,,,,,,,,,,
2006-07,33,DET,NBA,PF,43,42,1277,.489,8.7,.985,.352,.220,.181,.232,.015,.491,.667,.444,.405,.337,.333,.591,1.000,.078,31,.000,,1,0,,webbech01,,,,,,,,,,,,,,,
2007-08,34,GSW,NBA,PF,9,8,126,.484,12.0,1.000,.226,.161,.129,.484,.000,.484,.714,.200,.250,.533,,.867,,.032,1,,,0,0,,webbech01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,stewala01,,,,,,,,,,,,,,,
